dist,under_h0,n,estimator,q,weight,reject_rate,mean_pvalue,mean_stat,mean_time_s,sd_time_s,n_rep,se_rate
"Uniforme(1.0,3.0)",True,40,argmin,2,laplace_1.0,0.055,0.43270000000000003,0.006685535524361956,0.3503521649998584,0.02717006112670758,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,40,median,1,gauss_0.5,0.055,0.5230250000000001,0.020568446408478058,0.09902270950013187,0.0039444484779709915,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,40,median,1,gauss_1.0,0.075,0.514425,0.03548010056090764,0.10035843700054098,0.0036621887904675046,200,0.018624580532189176
"Uniforme(1.0,3.0)",True,40,median,1,laplace_1.0,0.08,0.4894,0.045373086453341545,0.10188850849954174,0.003103303543775384,200,0.01918332609325088
"Uniforme(1.0,3.0)",True,40,median,2,gauss_0.5,0.055,0.48015,0.0011709667519862114,0.1134169634998397,0.004450813854144946,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,40,median,2,gauss_1.0,0.075,0.493675,0.002716520738484845,0.10859962600035937,0.010348135317052795,200,0.018624580532189176
"Uniforme(1.0,3.0)",True,40,median,2,laplace_1.0,0.09,0.439475,0.007899129238844768,0.11693572950076483,0.004338570608362371,200,0.02023610634484806
"Uniforme(1.0,3.0)",True,40,trimmed,1,gauss_0.5,0.02,0.5127,0.004093207453833306,0.10196773000068785,0.00531604021785742,200,0.009899494936611665
"Uniforme(1.0,3.0)",True,40,trimmed,1,gauss_1.0,0.05,0.5052,0.007775952224630675,0.1038690240004507,0.00452739897366508,200,0.015411035007422441
"Uniforme(1.0,3.0)",True,40,trimmed,1,laplace_1.0,0.045,0.49262500000000004,0.023580977837482905,0.10520175450008534,0.005169413869226131,200,0.014658615214269049
"Uniforme(1.0,3.0)",True,40,trimmed,2,gauss_0.5,0.02,0.52105,3.350091966636039e-05,0.11169334800011707,0.005379202170130159,200,0.009899494936611665
"Uniforme(1.0,3.0)",True,40,trimmed,2,gauss_1.0,0.02,0.5193,0.0003456651082395845,0.11449165150006589,0.005131972928291172,200,0.009899494936611665
"Uniforme(1.0,3.0)",True,40,trimmed,2,laplace_1.0,0.02,0.47515,0.006909425478958434,0.11509731149970318,0.005970120488087672,200,0.009899494936611665
"Uniforme(1.0,3.0)",True,80,argmin,1,gauss_0.5,0.04,0.4821756487025948,0.0005328762077233408,5.742518198999969,0.2930056117866485,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,80,argmin,1,gauss_1.0,0.04,0.5207185628742514,0.003909429455365096,6.715154095999942,0.6869735899393644,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,80,argmin,1,laplace_1.0,0.055,0.4936427145708583,0.01849108810358074,7.609852018000029,0.30712149969335323,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,80,argmin,2,gauss_0.5,0.035,0.49042499999999994,2.377172313243805e-06,0.42191329199988103,0.011149753247688493,200,0.012995191418367026
"Uniforme(1.0,3.0)",True,80,argmin,2,gauss_1.0,0.055,0.46954999999999997,0.0002392411855674326,0.44609051999956134,0.01802184184239973,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,80,argmin,2,laplace_1.0,0.04,0.43670000000000003,0.005209631769616225,0.5066806264995103,0.04032213803788723,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,80,median,1,gauss_0.5,0.065,0.490375,0.01773535910708269,0.1930547070005559,0.007175440348622064,200,0.017432010784760317
"Uniforme(1.0,3.0)",True,80,median,1,gauss_1.0,0.06,0.500125,0.02679511129349911,0.19816815899968784,0.009355786794808965,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,80,median,1,laplace_1.0,0.08,0.475925,0.03620344145686962,0.2035674140004266,0.010909527261534767,200,0.01918332609325088
"Uniforme(1.0,3.0)",True,80,median,2,gauss_0.5,0.075,0.5035499999999999,0.0007262015735648757,0.21499805450053824,0.015907041760765885,200,0.018624580532189176
"Uniforme(1.0,3.0)",True,80,median,2,gauss_1.0,0.06,0.485325,0.0013892192884527813,0.21557337299986098,0.025250137978536247,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,80,median,2,laplace_1.0,0.055,0.441725,0.00583810741020582,0.20563717799937872,0.01327399274395471,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,80,trimmed,1,gauss_0.5,0.05,0.50775,0.003102578956286603,0.1907442145002278,0.007310971124341174,200,0.015411035007422441
"Uniforme(1.0,3.0)",True,80,trimmed,1,gauss_1.0,0.05,0.524175,0.0054534590454062585,0.19664714899961833,0.00937810328449116,200,0.015411035007422441
"Uniforme(1.0,3.0)",True,80,trimmed,1,laplace_1.0,0.04,0.47997500000000004,0.019732346274681244,0.20115862750048105,0.010182176536091847,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,80,trimmed,2,gauss_0.5,0.06,0.47935,2.067163875475485e-05,0.20748129449944824,0.01997215500241857,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,80,trimmed,2,gauss_1.0,0.06,0.50865,0.00021748474935713612,0.20074062500032594,0.014371211962413939,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,80,trimmed,2,laplace_1.0,0.025,0.471625,0.005089166926102545,0.21238496149955605,0.01531643606675431,200,0.011039701082909808
"Uniforme(1.0,3.0)",True,160,argmin,1,gauss_0.5,0.055,0.5064970059880239,0.00037936326116533905,9.924743139500023,0.3080572154044459,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,160,argmin,1,gauss_1.0,0.06,0.5077445109780439,0.0029603713988667845,11.642498339999966,0.7226639134913091,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,160,argmin,1,laplace_1.0,0.03,0.476437125748503,0.01648365091270292,12.594784511499965,0.1539453452066435,200,0.012062338081814818
"Uniforme(1.0,3.0)",True,160,argmin,2,gauss_0.5,0.06,0.4721,1.272642398572517e-06,0.6200194765000924,0.03678408346854263,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,160,argmin,2,gauss_1.0,0.035,0.5172,0.00013815777936903933,0.6754466460002004,0.04781434533131526,200,0.012995191418367026
"Uniforme(1.0,3.0)",True,160,argmin,2,laplace_1.0,0.01,0.451,0.004369123978712464,0.7997029305002797,0.09369969731658345,200,0.007035623639735145
"Uniforme(1.0,3.0)",True,160,median,1,gauss_0.5,0.08,0.454575,0.013637426035247494,0.3789800970000215,0.014818933640151874,200,0.01918332609325088
"Uniforme(1.0,3.0)",True,160,median,1,gauss_1.0,0.055,0.524625,0.01832606594750024,0.40718964399995455,0.0216724738191517,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,160,median,1,laplace_1.0,0.09,0.47405,0.029814509398211144,0.3981486259994563,0.012202255174586844,200,0.02023610634484806
"Uniforme(1.0,3.0)",True,160,median,2,gauss_0.5,0.065,0.47645000000000004,0.00036102260222074177,0.44228679299958457,0.024078728389921512,200,0.017432010784760317
"Uniforme(1.0,3.0)",True,160,median,2,gauss_1.0,0.055,0.497225,0.0007298716122068538,0.44740874149953014,0.031611945356817224,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,160,median,2,laplace_1.0,0.06,0.43895,0.004622248332049361,0.4670280519998778,0.039031216434746004,200,0.016792855623746664
"Uniforme(1.0,3.0)",True,160,trimmed,1,gauss_0.5,0.055,0.5045000000000001,0.002174109683539944,0.3940048639997258,0.019213381746893562,200,0.016120638945153507
"Uniforme(1.0,3.0)",True,160,trimmed,1,gauss_1.0,0.05,0.5299499999999999,0.003814977509835251,0.39086475599950066,0.018732711727775877,200,0.015411035007422441
"Uniforme(1.0,3.0)",True,160,trimmed,1,laplace_1.0,0.025,0.5135000000000001,0.016496865313857162,0.4597123159995681,0.10377729259945738,200,0.011039701082909808
"Uniforme(1.0,3.0)",True,160,trimmed,2,gauss_0.5,0.04,0.52985,8.45009983291223e-06,0.44139168999972755,0.04663184034215583,200,0.013856406460551017
"Uniforme(1.0,3.0)",True,160,trimmed,2,gauss_1.0,0.045,0.51515,0.0001358746903910392,0.45852030599977295,0.032913095411023,200,0.014658615214269049
"Uniforme(1.0,3.0)",True,160,trimmed,2,laplace_1.0,0.015,0.4635,0.004542472071221939,0.44239680700033207,0.049291104183163736,200,0.008595056718835542
"Weibull(k=1.5,s=1.0)",False,20,argmin,1,gauss_0.5,0.155,0.2210778443113772,0.004331252306645327,2.177060635499929,0.12052744005052782,200,0.02559052559053839
"Weibull(k=1.5,s=1.0)",False,20,argmin,1,gauss_1.0,0.11,0.21763473053892213,0.020335803803317568,2.371764798000022,0.10734794947725378,200,0.022124646889837587
"Weibull(k=1.5,s=1.0)",False,20,argmin,1,laplace_1.0,0.18,0.22883233532934127,0.03984652024058042,2.543566834000176,0.09008610116162104,200,0.027166155414412252
"Weibull(k=1.5,s=1.0)",False,20,argmin,2,gauss_0.5,0.19,0.187275,0.0001268452619574517,0.2348285839994787,0.014274790946663458,200,0.027739863013360393
"Weibull(k=1.5,s=1.0)",False,20,argmin,2,gauss_1.0,0.115,0.232625,0.0017803948886449161,0.23797850799972362,0.006778703914763914,200,0.022558257911461158
"Weibull(k=1.5,s=1.0)",False,20,argmin,2,laplace_1.0,0.1,0.26184999999999997,0.006404265589267961,0.2529912929997226,0.010574323818143891,200,0.021213203435596427
"Weibull(k=1.5,s=1.0)",False,20,median,1,gauss_0.5,0.15,0.356025,0.03948500328366097,0.056111836499694576,0.0038314649388490616,200,0.025248762345905194
"Weibull(k=1.5,s=1.0)",False,20,median,1,gauss_1.0,0.14,0.354475,0.0575668272548966,0.05587464149939474,0.004614779788260616,200,0.024535688292770596
"Weibull(k=1.5,s=1.0)",False,20,median,1,laplace_1.0,0.1,0.37095,0.057207232859159074,0.057735066500536,0.004386181786081241,200,0.021213203435596427
"Weibull(k=1.5,s=1.0)",False,20,median,2,gauss_0.5,0.115,0.3307,0.003255666624930261,0.052142221000321974,0.002334146775985438,200,0.022558257911461158
"Weibull(k=1.5,s=1.0)",False,20,median,2,gauss_1.0,0.1,0.37905,0.0049021889195847495,0.04836774050054369,0.005976598676439583,200,0.021213203435596427
"Weibull(k=1.5,s=1.0)",False,20,median,2,laplace_1.0,0.115,0.3274,0.008308850787683432,0.052910315000117364,0.002155332885402167,200,0.022558257911461158
"Weibull(k=1.5,s=1.0)",False,20,trimmed,1,gauss_0.5,0.135,0.2306,0.01544652424234805,0.058154421500657874,0.014090334576754132,200,0.024163505540380516
"Weibull(k=1.5,s=1.0)",False,20,trimmed,1,gauss_1.0,0.14,0.217575,0.026154511538162662,0.05748366999978312,0.0037124073321120415,200,0.024535688292770596
"Weibull(k=1.5,s=1.0)",False,20,trimmed,1,laplace_1.0,0.12,0.26155,0.03792280562940882,0.06241266700009869,0.012944827411734649,200,0.022978250586152115
"Weibull(k=1.5,s=1.0)",False,20,trimmed,2,gauss_0.5,0.13,0.22215,0.0004622946636123473,0.05341988850028424,0.0031989115610575104,200,0.02378024390118823
"Weibull(k=1.5,s=1.0)",False,20,trimmed,2,gauss_1.0,0.1,0.240125,0.0020773644607371263,0.05623291199954106,0.0044446899181274525,200,0.021213203435596427
"Weibull(k=1.5,s=1.0)",False,20,trimmed,2,laplace_1.0,0.115,0.294125,0.008296290671734513,0.05380183549947101,0.0026429319236888813,200,0.022558257911461158
"Weibull(k=1.5,s=1.0)",False,40,argmin,1,gauss_0.5,0.465,0.08823353293413168,0.004543542697334538,3.1387128645000666,0.13425864707962487,200,0.03526861210765175
"Weibull(k=1.5,s=1.0)",False,40,argmin,1,gauss_1.0,0.54,0.08895209580838319,0.02129825331100486,3.4328621900001237,0.12715678723474919,200,0.035242020373412196
"Weibull(k=1.5,s=1.0)",False,40,argmin,1,laplace_1.0,0.495,0.10374251497005985,0.03701517700257932,3.740742947499766,0.1163997607520765,200,0.03535357124817803
"Weibull(k=1.5,s=1.0)",False,40,argmin,2,gauss_0.5,0.37,0.0908,0.00010264779457091882,0.26536824750044613,0.005625221976109621,200,0.034139420030223126
"Weibull(k=1.5,s=1.0)",False,40,argmin,2,gauss_1.0,0.54,0.0739,0.0017045686625749856,0.27283509799955935,0.005246495207220123,200,0.035242020373412196
"Weibull(k=1.5,s=1.0)",False,40,argmin,2,laplace_1.0,0.325,0.188275,0.005116884889768391,0.2886373460006143,0.010041668158963988,200,0.03311910324872942
"Weibull(k=1.5,s=1.0)",False,40,median,1,gauss_0.5,0.285,0.256025,0.038161893479193125,0.10349046499992251,0.006167650709642708,200,0.03191982142807193
"Weibull(k=1.5,s=1.0)",False,40,median,1,gauss_1.0,0.215,0.297675,0.04809161063871027,0.10293576749936616,0.006807521221848544,200,0.029049526674285075
"Weibull(k=1.5,s=1.0)",False,40,median,1,laplace_1.0,0.295,0.236925,0.05639668572895361,0.10403663350036364,0.004948319616006947,200,0.03224709289222828
"Weibull(k=1.5,s=1.0)",False,40,median,2,gauss_0.5,0.26,0.2581,0.0024460896783839877,0.10464726199948922,0.01607683448395758,200,0.031016124838541645
"Weibull(k=1.5,s=1.0)",False,40,median,2,gauss_1.0,0.205,0.270725,0.004044698314566383,0.09388384000019863,0.010636849702146678,200,0.028546015483776367
"Weibull(k=1.5,s=1.0)",False,40,median,2,laplace_1.0,0.29,0.21697500000000003,0.006758575513383221,0.0988505485000496,0.0037554615551861023,200,0.03208582241426889
"Weibull(k=1.5,s=1.0)",False,40,trimmed,1,gauss_0.5,0.565,0.0775,0.016895971641043762,0.10210132049971431,0.0048936367901869825,200,0.03505531343462785
"Weibull(k=1.5,s=1.0)",False,40,trimmed,1,gauss_1.0,0.505,0.081525,0.026052558328869782,0.10474023450056844,0.005500414473073021,200,0.03535357124817803
"Weibull(k=1.5,s=1.0)",False,40,trimmed,1,laplace_1.0,0.49,0.111825,0.03940116260615222,0.1035017545001028,0.005945850113513038,200,0.03534826728426727
"Weibull(k=1.5,s=1.0)",False,40,trimmed,2,gauss_0.5,0.455,0.094375,0.00036912260674943644,0.09887320400048334,0.004903678594810349,200,0.035211858797853886
"Weibull(k=1.5,s=1.0)",False,40,trimmed,2,gauss_1.0,0.43,0.09755000000000001,0.0016080812280203686,0.09981333949952383,0.005203020631546233,200,0.03500714212842859
"Weibull(k=1.5,s=1.0)",False,40,trimmed,2,laplace_1.0,0.395,0.15515,0.00649781810865808,0.10342055700049962,0.00598087058542308,200,0.03456696399743547
"Weibull(k=1.5,s=1.0)",False,80,argmin,1,gauss_0.5,0.82,0.02970059880239517,0.0046355816012830856,4.9472873935000825,0.1400405677633223,200,0.027166155414412252
"Weibull(k=1.5,s=1.0)",False,80,argmin,1,gauss_1.0,0.92,0.019301397205588777,0.022386874225393413,5.664824137500018,0.16838389336469584,200,0.019183326093250873
"Weibull(k=1.5,s=1.0)",False,80,argmin,1,laplace_1.0,0.925,0.014740518962075802,0.03917942366324163,6.332990679999876,0.17547702141439006,200,0.01862458053218917
"Weibull(k=1.5,s=1.0)",False,80,argmin,2,gauss_0.5,0.855,0.027175,8.467451557693463e-05,0.361118579500544,0.011504099486581784,200,0.02489728900904675
"Weibull(k=1.5,s=1.0)",False,80,argmin,2,gauss_1.0,0.925,0.0207,0.0014695063221252219,0.37604243649991986,0.009447350296356311,200,0.01862458053218917
"Weibull(k=1.5,s=1.0)",False,80,argmin,2,laplace_1.0,0.655,0.061,0.004475965274199764,0.43409560399973995,0.05143927074250304,200,0.033613613313656115
