dist,under_h0,n,estimator,q,weight,rep,statistic,p_value,reject,theta_hat,time_s
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,20,0.0007400390795072437,0.265,False,1.8688715352401264,0.38810560000092664
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,21,0.00017892053217696287,0.64,False,1.903467224957085,0.4006258000008529
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,22,0.0002465461769382818,0.575,False,2.0410040274682477,0.37297729999954754
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,23,0.0032390239100039955,0.385,False,1.876469699133291,0.4070231000005151
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,24,0.0019420493596703343,0.46,False,1.8564479441568456,0.4047061000001122
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,25,3.490143697676999e-05,0.775,False,2.059552085467596,0.39221590000124706
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,26,1.682622114217783e-05,0.715,False,1.7766523835787407,0.38063709999914863
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,27,0.0008171718391558182,0.21,False,2.2803369138599705,0.397352600000886
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,28,0.0007532097361469339,0.05,False,2.214025193360868,0.3853223000005528
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,29,0.0006489749508055445,0.395,False,2.1515219861837016,0.373480299998846
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,30,0.0007924390195245964,0.04,True,2.154824036964913,0.38467449999916425
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,31,0.00018048277006136188,0.67,False,2.0068531729204078,0.3752788000001601
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,32,0.003822863151511976,0.025,True,1.6260438546689555,0.38392779999958293
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,33,0.00012441897207561583,0.6,False,1.969695860823996,0.3881366000005073
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,34,0.00025225536708693025,0.45,False,2.1273735368059934,0.37924589999965974
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,35,9.116162812196745e-05,0.82,False,1.8627966533938833,0.382237100000566
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,36,0.00018448804558272863,0.365,False,2.1156610122332524,0.3923146999986784
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,37,0.0007897122659555255,0.145,False,1.7140854702415635,0.3863868000007642
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,38,0.0017072115079868285,0.03,True,1.9484201983809775,0.3846869000008155
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,40,0.0005794769123619466,0.37,False,1.9359256915027667,0.37635450000016135
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,39,0.00033063313343532214,0.185,False,2.075146757872622,0.3997454000000289
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,42,1.3312043660449002e-05,0.915,False,1.9484029471769817,0.38577729999997246
"Uniforme(1.0,3.0)",True,20,argmin,2,gauss_1.0,41,0.00017325058250046655,0.63,False,1.8448076896608212,0.3897767999987991
